genre,actor,n
Action &amp; Adventure,50 Cent,3
Action &amp; Adventure,A.K. Hangal,1
Action &amp; Adventure,Aakash Dabhade,1
Action &amp; Adventure,Aamir Bashir,1
Action &amp; Adventure,Aanchal Munjal,1
Action &amp; Adventure,Aarif Rahman,3
Action &amp; Adventure,Aaron Eckhart,5
Action &amp; Adventure,Aaron Jeffery,1
Action &amp; Adventure,Aaron Kwok,1
Action &amp; Adventure,Aaron McCusker,3
Action &amp; Adventure,Aaron Taylor-Johnson,2
Action &amp; Adventure,Aarti Chhabria,1
Action &amp; Adventure,Aashi Rawal,1
Action &amp; Adventure,Aashif Sheikh,1
Action &amp; Adventure,Aashish Chaudhary,1
Action &amp; Adventure,Aasif Mandvi,1
Action &amp; Adventure,Abbie Cornish,3
Action &amp; Adventure,Abby Ryder Fortson,1
Action &amp; Adventure,Abdullah Al Yousef,2
Action &amp; Adventure,Abeer Abrar,1
Action &amp; Adventure,Abhay Deol,3
Action &amp; Adventure,Abhimanyu Dassani,1
Action &amp; Adventure,Abhimanyu Singh,1
Action &amp; Adventure,Abhishek Bachchan,5
Action &amp; Adventure,Abimana Aryasatya,2
Action &amp; Adventure,Ada Choi,2
Action &amp; Adventure,Adam Collins,2
Action &amp; Adventure,Adam DeVine,1
Action &amp; Adventure,Adam Driver,1
Action &amp; Adventure,Adam Ferrara,1
Action &amp; Adventure,Adam LeFevre,1
Action &amp; Adventure,Adam Nee,2
Action &amp; Adventure,Adam Rayner,2
Action &amp; Adventure,Adam Rose,1
Action &amp; Adventure,Adam Sandler,3
Action &amp; Adventure,Adam Scott Miller,1
Action &amp; Adventure,Adhir Kalyan,1
Action &amp; Adventure,Adhvik Mahajan,1
Action &amp; Adventure,Adil Hussain,2
Action &amp; Adventure,Adithya Menon,1
Action &amp; Adventure,Aditi Rao Hydari,1
Action &amp; Adventure,Aditya Lakhia,1
Action &amp; Adventure,Adnan Haskovic,2
Action &amp; Adventure,Adreea Diac,1
Action &amp; Adventure,Adria Arjona,2
Action &amp; Adventure,Adrian Edmondson,1
Action &amp; Adventure,Adrian Holmes,1
Action &amp; Adventure,Adrian Ladron,4
Action &amp; Adventure,Adrian Pasdar,2
Action &amp; Adventure,Adrian Paul,2
Action &amp; Adventure,Adrianne Palicki,1
Action &amp; Adventure,Adrien Brody,2
Action &amp; Adventure,Adám Fekete,1
Action &amp; Adventure,Aegina De Vas,3
Action &amp; Adventure,Afaf Rashad,1
Action &amp; Adventure,Afeez Oyetoro,1
Action &amp; Adventure,Affif Ben Badra,2
Action &amp; Adventure,Agnes Kittelsen,10
Action &amp; Adventure,Agnieszka Dygant,1
Action &amp; Adventure,Agyness Deyn,1
Action &amp; Adventure,Ahmed El Mohammdi,2
Action &amp; Adventure,Ahmed Ezz,1
Action &amp; Adventure,Ahmed Safwat,1
Action &amp; Adventure,Ahmed Salah Hosny,1
Action &amp; Adventure,Ahmed Sylla,1
