genre,country,n
Action &amp; Adventure,Argentina,41
Action &amp; Adventure,Australia,90
Action &amp; Adventure,Belgium,99
Action &amp; Adventure,Brazil,30
Action &amp; Adventure,Bulgaria,26
Action &amp; Adventure,Cambodia,7
Action &amp; Adventure,Canada,279
Action &amp; Adventure,Chile,10
Action &amp; Adventure,China,434
Action &amp; Adventure,Czech Republic,33
Action &amp; Adventure,Denmark,31
Action &amp; Adventure,Egypt,42
Action &amp; Adventure,France,194
Action &amp; Adventure,Germany,228
Action &amp; Adventure,Hong Kong,585
Action &amp; Adventure,Hungary,17
Action &amp; Adventure,Iceland,9
Action &amp; Adventure,India,1090
Action &amp; Adventure,Indonesia,56
Action &amp; Adventure,Ireland,16
Action &amp; Adventure,Israel,8
Action &amp; Adventure,Italy,31
Action &amp; Adventure,Japan,540
Action &amp; Adventure,Luxembourg,8
Action &amp; Adventure,Malaysia,19
Action &amp; Adventure,Malta,10
Action &amp; Adventure,Mexico,56
Action &amp; Adventure,Morocco,10
Action &amp; Adventure,Nepal,8
Action &amp; Adventure,Netherlands,8
Action &amp; Adventure,New Zealand,54
Action &amp; Adventure,Nigeria,17
Action &amp; Adventure,Norway,24
Action &amp; Adventure,Pakistan,17
Action &amp; Adventure,Paraguay,26
Action &amp; Adventure,Philippines,41
Action &amp; Adventure,Poland,16
Action &amp; Adventure,Russia,20
Action &amp; Adventure,Serbia,10
Action &amp; Adventure,Singapore,64
Action &amp; Adventure,South Africa,97
Action &amp; Adventure,South Korea,118
Action &amp; Adventure,Soviet Union,16
Action &amp; Adventure,Spain,44
Action &amp; Adventure,Sweden,31
Action &amp; Adventure,Switzerland,6
Action &amp; Adventure,Taiwan,16
Action &amp; Adventure,Thailand,75
Action &amp; Adventure,Turkey,42
Action &amp; Adventure,United Arab Emirates,42
Action &amp; Adventure,United Kingdom,597
Action &amp; Adventure,United States,2852
Action &amp; Adventure,Vietnam,11
Anime Features,China,24
Anime Features,Japan,591
Anime Features,United States,54
Anime Series,Japan,99
British TV Shows,Canada,1
British TV Shows,Germany,1
British TV Shows,Greece,1
British TV Shows,Ireland,21
British TV Shows,Spain,1
British TV Shows,United Kingdom,140
British TV Shows,United States,22
Children &amp; Family Movies,Argentina,22
Children &amp; Family Movies,Australia,164
Children &amp; Family Movies,Belgium,47
Children &amp; Family Movies,Brazil,31
Children &amp; Family Movies,Bulgaria,9
Children &amp; Family Movies,Cambodia,11
Children &amp; Family Movies,Canada,471
Children &amp; Family Movies,Cayman Islands,10
Children &amp; Family Movies,Chile,10
Children &amp; Family Movies,China,85
Children &amp; Family Movies,Czech Republic,11
Children &amp; Family Movies,Denmark,18
Children &amp; Family Movies,East Germany,10
Children &amp; Family Movies,Egypt,4
Children &amp; Family Movies,France,232
Children &amp; Family Movies,Germany,126
Children &amp; Family Movies,Hong Kong,21
Children &amp; Family Movies,India,145
Children &amp; Family Movies,Indonesia,18
Children &amp; Family Movies,Ireland,27
Children &amp; Family Movies,Italy,20
Children &amp; Family Movies,Japan,91
Children &amp; Family Movies,Lebanon,70
Children &amp; Family Movies,Luxembourg,25
Children &amp; Family Movies,Malawi,8
Children &amp; Family Movies,Malaysia,10
Children &amp; Family Movies,Mexico,27
Children &amp; Family Movies,Netherlands,9
Children &amp; Family Movies,New Zealand,19
Children &amp; Family Movies,Norway,1
Children &amp; Family Movies,Qatar,70
Children &amp; Family Movies,South Korea,70
Children &amp; Family Movies,Spain,46
Children &amp; Family Movies,Switzerland,6
Children &amp; Family Movies,Taiwan,10
Children &amp; Family Movies,Turkey,11
Children &amp; Family Movies,United Arab Emirates,31
Children &amp; Family Movies,United Kingdom,271
Children &amp; Family Movies,United States,3237
Children &amp; Family Movies,West Germany,10
Classic &amp; Cult TV,United Kingdom,7
Classic &amp; Cult TV,United States,9
Classic Movies,Australia,21
Classic Movies,East Germany,10
Classic Movies,Hong Kong,11
Classic Movies,India,108
Classic Movies,Italy,20
Classic Movies,Japan,29
Classic Movies,Liechtenstein,9
Classic Movies,Mexico,8
Classic Movies,Poland,6
Classic Movies,"Poland,",9
Classic Movies,United Kingdom,115
