genre,Afghanistan,Albania,Argentina,Australia,Austria,Bangladesh,Belgium,Bermuda,Brazil,Bulgaria,Cambodia,Canada,Cayman Islands,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Dominican Republic,East Germany,Ecuador,Egypt,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Liechtenstein,Luxembourg,Malawi,Malaysia,Malta,Mexico,Montenegro,Morocco,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,"Poland,",Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,Soviet Union,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Arab Emirates,United Kingdom,United States,Uruguay,Vatican City,Venezuela,Vietnam,West Germany
Action &amp; Adventure,,,41,90,,,99,,30,26,7,279,,10,434,,,33,31,,,,42,,194,,228,,,,585,17,9,1090,56,,,16,8,31,540,,,,,,8,,19,10,56,,10,8,8,54,,17,24,17,,26,,41,16,,,,,20,,,10,64,,,,97,118,16,44,,,31,6,16,75,42,42,597,2852,,,,11,
Anime Features,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,
Anime Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British TV Shows,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,140,22,,,,,
Children &amp; Family Movies,,,22,164,,,47,,31,9,11,471,10,10,85,,,11,18,,10,,4,,232,,126,,,,21,,,145,18,,,27,,20,91,,,,70,,25,8,10,,27,,,,9,19,,,1,,,,,,,,,70,,,,,,,,,,,70,,46,,,,6,10,,11,31,271,3237,,,,,10
Classic &amp; Cult TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,
Classic Movies,,,,21,,,,,,,,,,,,,,,,,10,,,,,,,,,,11,,,108,,,,,,20,29,,,,,9,,,,,8,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,,,,,,,,,,,,115,533,,,,,10
Comedies,,,102,149,,110,127,,117,,11,701,10,64,227,39,1,12,13,,10,,185,,398,,281,9,11,,274,,,2089,58,,,41,14,61,84,6,,,8,,,,44,,181,,,16,49,20,,151,13,68,,,28,156,16,,8,9,25,,5,,,,,1,,43,123,,385,,,54,30,18,90,404,50,716,5549,11,,,10,10
Crime TV Shows,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,16,,,,5,1,1,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,15,,,,,17,,28,11,44,115,,,,,
Cult Movies,,,10,6,,,10,,,,,70,,,12,,,13,12,,,,,,32,,39,,,,59,,,34,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,30,,,,,13,,,,,12,,,,,,52,439,,,,,
Documentaries,1,,5,7,4,,2,12,4,,,45,,,1,2,,,3,1,,12,15,1,28,,9,,,,,,,10,,,2,11,3,7,6,,,,,,,,,,11,,,,4,6,1,,1,,1,,1,,,,,,,2,,,2,,,,,5,,,17,1,,4,9,1,1,,10,165,605,2,1,1,,
Docuseries,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,4,33,,,,,
Dramas,,4,223,274,35,124,320,,220,8,10,557,,75,212,21,20,42,151,,,,135,20,1149,18,567,17,27,4,237,25,20,4493,272,30,,73,67,176,93,22,10,11,78,9,57,8,69,10,314,10,35,8,101,33,,192,89,93,,,10,228,140,9,42,94,26,28,,9,20,71,10,10,10,92,194,28,566,,10,130,100,26,25,155,92,1205,5212,37,,,9,
Faith &amp; Spirituality,,,,,,,,,25,,,8,,,1,,,,,,,,,,2,,1,,,,,,,20,29,,,1,10,1,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,18,,,22,,,,1,,17,,,24,231,,1,,,
Horror Movies,,,27,31,,,40,,,8,,211,,21,10,,,,,6,,,8,,84,,36,,,,,,10,275,91,10,,19,20,,47,10,,,,,,,36,,43,,,,,,,10,,7,,,20,27,10,,,10,,,,,9,30,,9,,18,26,,76,,,,,,192,45,10,168,1513,,,,6,10
Independent Movies,,,49,68,23,124,108,,122,8,,271,,55,5,9,11,1,79,,,,29,,494,18,216,8,27,4,44,,13,1045,,19,,17,40,16,48,,,,,,10,8,,,133,,8,,21,24,,22,30,35,,,11,,20,,24,7,,,,9,9,6,,10,,28,15,,121,,,77,26,5,,4,18,512,2926,10,,,,
International Movies,1,4,336,147,45,14,414,,232,42,7,333,,114,532,54,11,64,163,7,,,351,21,1234,18,478,17,11,4,670,25,22,5820,399,29,2,95,72,199,472,32,,11,8,,37,,117,,403,10,18,16,158,58,,302,80,163,,26,48,394,130,9,38,35,46,40,5,9,22,101,10,11,,94,250,44,866,1,,119,103,44,330,519,99,832,739,39,1,1,21,10
International TV Shows,,,,7,,,,,14,,,20,,,6,49,,,9,,,,,,,,1,,1,,,,,20,,,,26,,,74,,,,,,,,,,23,,,,,,,,,6,,,,,,,,,,,,,,,,,,,101,,62,,,,,73,,50,11,60,68,,,,,
Kids' TV,,,,,,,,,,,,10,,,,,,,14,,,,,,33,,,,,,,,,2,,,,,,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,23,21,,,,,
Korean TV Shows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,10,,,,,
