genre,director,n
Action &amp; Adventure,A. Salaam,10
Action &amp; Adventure,A.R. Murugadoss,18
Action &amp; Adventure,Aaron Nee,13
Action &amp; Adventure,Abbas Alibhai Burmawalla,24
Action &amp; Adventure,Abhinay Deo,19
Action &amp; Adventure,Adam Alleca,7
Action &amp; Adventure,Adam Collins,10
Action &amp; Adventure,Adam Nee,13
Action &amp; Adventure,Aditya Sarpotdar,10
Action &amp; Adventure,Adrian Teh,11
Action &amp; Adventure,Afonso Poyart,10
Action &amp; Adventure,Ahsan Rahim,10
Action &amp; Adventure,Alain Desrochers,21
Action &amp; Adventure,Alain Gagnol,22
Action &amp; Adventure,Alan Mak,16
Action &amp; Adventure,Albert Hughes,10
Action &amp; Adventure,Alex Proyas,13
Action &amp; Adventure,Alexander Nevsky,20
Action &amp; Adventure,Ali Bin Matar,8
Action &amp; Adventure,Allan Ungar,10
Action &amp; Adventure,Allen Hughes,10
Action &amp; Adventure,Alo Sarkar,9
Action &amp; Adventure,Amaan Khan,10
Action &amp; Adventure,Amal Neerad,10
Action &amp; Adventure,Amardeep Singh Gill,7
Action &amp; Adventure,Amir Galvan Cervera,12
Action &amp; Adventure,Amitabha Singh,10
Action &amp; Adventure,Andrew Fleming,27
Action &amp; Adventure,Andrew Lau Wai-Keung,36
Action &amp; Adventure,Andrew Loo,20
Action &amp; Adventure,Andrew Stanton,38
Action &amp; Adventure,Andrew Wessels,11
Action &amp; Adventure,Andrzej Bartkowiak,11
Action &amp; Adventure,Andy Serkis,26
Action &amp; Adventure,Andy Tennant,14
Action &amp; Adventure,Ang Lee,40
Action &amp; Adventure,Anil Sharma,10
Action &amp; Adventure,Anthony D'Souza,10
Action &amp; Adventure,Anthony Russo,28
Action &amp; Adventure,Antoine Bardou-Jacquet,16
Action &amp; Adventure,Antoine Fuqua,24
Action &amp; Adventure,Anurag Basu,6
Action &amp; Adventure,Apoorva Lakhia,23
Action &amp; Adventure,Arjun Jandyala,3
Action &amp; Adventure,Arnab Chaudhuri,8
Action &amp; Adventure,Arun Vaidyanathan,8
Action &amp; Adventure,Ashutosh Gowariker,17
Action &amp; Adventure,Atlee Kumar,7
Action &amp; Adventure,Atom Egoyan,28
Action &amp; Adventure,Atsajun Sattakovit,10
Action &amp; Adventure,Atsuko Ishizuka,15
Action &amp; Adventure,Attila Till,7
Action &amp; Adventure,Baljit Singh Deo,3
Action &amp; Adventure,Baltasar Kormákur,9
Action &amp; Adventure,Barry Sonnenfeld,30
Action &amp; Adventure,Bejoy Nambiar,9
Action &amp; Adventure,Ben Foster,10
Action &amp; Adventure,Ben Wheatley,12
Action &amp; Adventure,Ben Young,8
Action &amp; Adventure,Benny Chan,16
Action &amp; Adventure,Bharat Nalluri,9
Action &amp; Adventure,Bilal Lashari,7
Action &amp; Adventure,Bin Bunluerit,10
Action &amp; Adventure,Bob Persichetti,12
Action &amp; Adventure,Bong Joon Ho,52
Action &amp; Adventure,Brett Ratner,9
Action &amp; Adventure,Brian A. Miller,16
Action &amp; Adventure,Brian Smrz,21
Action &amp; Adventure,Bruce MacDonald,18
Action &amp; Adventure,Bryan Singer,10
Action &amp; Adventure,Carol Reed,6
Action &amp; Adventure,Cary Murnion,7
Action &amp; Adventure,Cem Yılmaz,8
Action &amp; Adventure,Chandra Barot,10
Action &amp; Adventure,Chandrakant Kanse,8
Action &amp; Adventure,Chanon Yingyong,8
Action &amp; Adventure,Charles Stone III,11
Action &amp; Adventure,Cheh Chang,25
Action &amp; Adventure,Chia Tang,11
Action &amp; Adventure,Chia-Liang Liu,36
Action &amp; Adventure,Chris Burkard,10
Action &amp; Adventure,Chris Nahon,6
Action &amp; Adventure,Christian Desmares,30
Action &amp; Adventure,Christopher Nolan,24
Action &amp; Adventure,Chuck Russell,10
Action &amp; Adventure,Clarence Yiu-leung Fok,7
Action &amp; Adventure,Clint Eastwood,12
Action &amp; Adventure,Colin Strause,10
Action &amp; Adventure,Colin Teague,10
Action &amp; Adventure,Corey Yuen,38
Action &amp; Adventure,Curtis Hanson,9
Action &amp; Adventure,D Ho,2
Action &amp; Adventure,Daisuke Nishio,8
Action &amp; Adventure,Daniel Alfredson,32
Action &amp; Adventure,Daniel Benmayor,10
Action &amp; Adventure,Daniel Lee,36
Action &amp; Adventure,Daniel Yee Heng Chan,7
Action &amp; Adventure,Dante Lam,53
Action &amp; Adventure,David Ayer,24
Action &amp; Adventure,David Blair,12
Action &amp; Adventure,David Dhawan,26
Action &amp; Adventure,David L.G. Hughes,10
Action &amp; Adventure,David Lam,16
Action &amp; Adventure,David M. Rosenthal,6
Action &amp; Adventure,David Mackenzie,18
Action &amp; Adventure,David Palmer,11
Action &amp; Adventure,Dax Shepard,11
Action &amp; Adventure,Dennis Dugan,10
Action &amp; Adventure,Derek Yee,10
Action &amp; Adventure,Dimitri Logothetis,8
Action &amp; Adventure,Ding Sheng,9
Action &amp; Adventure,Dominic Sena,20
Action &amp; Adventure,Don Michael Paul,66
Action &amp; Adventure,Don Omope,10
Action &amp; Adventure,Doug Lefler,10
Action &amp; Adventure,Edgar Wright,56
Action &amp; Adventure,Edward Zwick,15
Action &amp; Adventure,Eeshwar Nivas,8
Action &amp; Adventure,Ekachai Uekrongtham,24
Action &amp; Adventure,Eric Radomski,5
Action &amp; Adventure,Eric Zaragosa,20
Action &amp; Adventure,Erik Canuel,17
Action &amp; Adventure,Erik Matti,10
Action &amp; Adventure,Ernie Barbarash,10
Action &amp; Adventure,Espen Sandberg,50
Action &amp; Adventure,Farah Khan,16
Action &amp; Adventure,Farhan Akhtar,34
Action &amp; Adventure,Felix Chong,7
Action &amp; Adventure,Fernando Coimbra,8
Action &amp; Adventure,Feroz,10
Action &amp; Adventure,Florian Henckel von Donnersmarck,40
Action &amp; Adventure,Florian Schnell,7
Action &amp; Adventure,Franck Ekinci,30
Action &amp; Adventure,Frank Coraci,21
Action &amp; Adventure,Frank Miller,17
Action &amp; Adventure,Frank O'Connor,8
Action &amp; Adventure,Frank Paur,19
Action &amp; Adventure,Fred M. Wilcox,7
Action &amp; Adventure,Fred Olen Ray,8
Action &amp; Adventure,Fumihiko Sori,11
Action &amp; Adventure,G.J. Echternkamp,9
Action &amp; Adventure,Gabriel Sabloff,18
Action &amp; Adventure,Gareth Evans,10
Action &amp; Adventure,Gonzalo López-Gallego,18
Action &amp; Adventure,Gordon Chan,14
Action &amp; Adventure,Gordon Parks,8
Action &amp; Adventure,Greg Strause,10
Action &amp; Adventure,Guillaume Renard,20
Action &amp; Adventure,Guillermo del Toro,12
Action &amp; Adventure,Guy Ritchie,37
Action &amp; Adventure,Hajime Kamegaki,23
Action &amp; Adventure,Ham Tran,6
Action &amp; Adventure,Han Yan,9
Action &amp; Adventure,Hark Tsui,12
Action &amp; Adventure,Hasan Aljaberi,8
Action &amp; Adventure,Hayao Miyazaki,9
Action &amp; Adventure,Henrik Martin Dahlsbakken,4
Action &amp; Adventure,Henrik Ruben Genz,44
Action &amp; Adventure,Hideaki Anno,27
Action &amp; Adventure,Hideki Futamura,8
Action &amp; Adventure,Hiroshi Yamazaki,8
Action &amp; Adventure,Hirotsugu Kawasaki,9
Action &amp; Adventure,Hiroyuki Seshita,36
Action &amp; Adventure,Hua Shan,5
Action &amp; Adventure,Iain Softley,30
Action &amp; Adventure,Ian Kirby,8
Action &amp; Adventure,Ibrahim Bin Mohamed,16
Action &amp; Adventure,Imtiaz Ali,4
Action &amp; Adventure,Indra Kumar,8
Action &amp; Adventure,Isaac Florentine,18
Action &amp; Adventure,J.C. Chandor,6
Action &amp; Adventure,J.M. Berrios,8
Action &amp; Adventure,Jack Starrett,5
Action &amp; Adventure,Jaivi Dhanda,8
Action &amp; Adventure,James McTeigue,53
Action &amp; Adventure,Jared Cohn,8
