type,actor,n
Movie,50 Cent,5
Movie,A. Murat Özgen,2
Movie,A.C. Peterson,1
Movie,A.D. Miles,3
Movie,A.J. Cook,4
Movie,A.J. LoCascio,2
Movie,A.K. Hangal,12
Movie,A.S. Sasi Kumar,3
Movie,AJ Bowen,3
Movie,Aabhas Yadav,3
Movie,Aachal Munjal,4
Movie,Aadarsh Balakrishna,6
Movie,Aadhi,3
Movie,Aaditi Pohankar,3
Movie,Aaditya Pratap Singh,3
Movie,Aadukalam Naren,2
Movie,Aadya Bedi,3
Movie,Aakash Dabhade,9
Movie,Aakash Pandey,3
Movie,Aamina Sheikh,6
Movie,Aamir Ahmed,3
Movie,Aamir Bashir,15
Movie,Aamir Khan,38
Movie,Aamir Qureshi,6
Movie,Aanand Kale,3
Movie,Aanchal Munjal,3
Movie,Aarav Khanna,6
Movie,Aarif Rahman,9
Movie,Aarjav Trivedi,3
Movie,Aarohi Patel,3
Movie,Aaron Abrams,6
Movie,Aaron Blakely,2
Movie,Aaron Burns,8
Movie,Aaron Douglas,4
Movie,Aaron Dugger,3
Movie,Aaron Eckhart,11
Movie,Aaron Eisenberg,2
Movie,Aaron Farb,2
Movie,Aaron Himelstein,1
Movie,Aaron Jeffery,11
Movie,Aaron Keogh,2
Movie,Aaron Kwok,2
Movie,Aaron Marshall,12
Movie,Aaron McCusker,6
Movie,Aaron Merke,4
Movie,Aaron Moorhead,6
Movie,Aaron Munoz,2
Movie,Aaron Paul,8
Movie,Aaron Pearl,1
Movie,Aaron Pedersen,1
Movie,Aaron Stanford,6
Movie,Aaron Taylor-Johnson,6
Movie,Aaron Washington,3
Movie,Aaron Wolff,12
Movie,Aaron Yoo,4
Movie,Aarti Chhabria,3
Movie,Aarti Mann,3
Movie,Aarti Patel,3
Movie,Aarubala,3
Movie,Aarushi Sharma,3
Movie,Aarya Dave,3
Movie,Aaryan Menon,3
Movie,Aasha Pawar,2
Movie,Aashi Rawal,3
Movie,Aashif Sheikh,3
Movie,Aashish Chaudhary,8
Movie,Aasif Mandvi,15
Movie,Aayam Mehta,4
Movie,Aayan Boradia,3
Movie,Abayomi Alvin,3
Movie,Abbas,2
Movie,Abbi Jacobson,2
Movie,Abbie Cornish,17
Movie,Abby Donnelly,2
Movie,Abby Ryder Fortson,3
Movie,Abby Trott,4
Movie,Abdalah Mishrif,4
Movie,Abdelaziz N'Mila,12
Movie,Abdelilah Wahbi,12
Movie,Abdellah Didane,6
Movie,Abdi Sidow Farah,5
Movie,Abdul Qadir,6
Movie,Abdullah Al Yousef,6
Movie,Abdullah Jan,9
Movie,Abdulmajeed Al-Ruhaidi,3
Movie,Abdur Arsyad,3
Movie,Abdur Rehman,3
Movie,Abdurrahman Arif,3
Movie,Abe Vigoda,2
Movie,Abeer Abrar,3
Movie,Abeer Mansour,3
Movie,Abel Ferrara,3
Movie,Abel McSurely Bradshaw,1
Movie,Abhay Deol,39
Movie,Abhay Kulkarni,3
Movie,Abhay Mahajan,8
Movie,Abhijit Kelkar,3
Movie,Abhijit Sinha,3
Movie,Abhimanyu Dassani,3
Movie,Abhimanyu Singh,15
Movie,Abhinav Gomatam,2
Movie,Abhishek Bachchan,24
Movie,Abhishek Banerjee,8
Movie,Abhishek D Shah,3
Movie,Abhishek Duhan,3
Movie,Abhishek H.N.,6
Movie,Abhishek Krishnan,3
Movie,Abhishek Saha,3
Movie,Abigail Breslin,5
Movie,Abigail Cruttenden,2
Movie,Abigail Pniowsky,2
Movie,Abigail Spencer,16
Movie,Abimana Aryasatya,4
Movie,Abir Chatterjee,3
Movie,Abir Goswami,3
Movie,Abishek K.S.,4
Movie,Abraham Attah,2
Movie,Abraham Benrubi,2
Movie,Abu Valayamkulam,3
Movie,Ace Harney,2
Movie,Acha Septriasa,6
Movie,Achala Sachdev,3
