type,director,n
Movie,A. L. Vijay,42
Movie,A. Salaam,30
Movie,A.R. Murugadoss,48
Movie,Aadish Keluskar,12
Movie,Aamir Bashir,12
Movie,Aamir Khan,14
Movie,Aanand Rai,60
Movie,Aaron Burns,12
Movie,Aaron Hann,54
Movie,Aaron Moorhead,18
Movie,Aaron Nee,39
Movie,Aatmaram Dharne,3
Movie,Abba T. Makama,30
Movie,Abbas Alibhai Burmawalla,100
Movie,Abbas Tyrewala,33
Movie,Abdellatif Kechiche,117
Movie,Abdullah Al Noor,30
Movie,Abel Ferrara,48
Movie,Abhay Chopra,9
Movie,Abhijit Kokate,21
Movie,Abhinav Shiv Tiwari,24
Movie,Abhinay Deo,62
Movie,Abhishek Chaubey,20
Movie,Abhishek Kapoor,69
Movie,Abhishek Saxena,27
Movie,Abhishek Sharma,59
Movie,Abhishek Varman,18
Movie,Abu Bakr Shawky,90
Movie,Adam Alleca,7
Movie,Adam Carolla,2
Movie,Adam Collins,10
Movie,Adam Darke,6
Movie,Adam Del Giudice,40
Movie,Adam Deyoe,18
Movie,Adam Dubin,1
Movie,Adam Egypt Mortimer,28
Movie,Adam Larson Broder,12
Movie,Adam Leon,16
Movie,Adam MacDonald,12
Movie,Adam Marino,22
Movie,Adam McKay,11
Movie,Adam Nee,39
Movie,Adam Nimoy,24
Movie,Adam Randall,21
Movie,Adam Schlesinger,14
Movie,Adam Shankman,172
Movie,Adam Smith,10
Movie,Adam Wingard,14
Movie,Adam Wood,10
Movie,Adarsh Eshwarappa,48
Movie,Adele K. Thomas,7
Movie,Adisorn Tresirikasem,21
Movie,Aditya Kripalani,31
Movie,Aditya Sarpotdar,39
Movie,Aditya Vikram Sengupta,30
Movie,Adrian Murray,16
Movie,Adrian Teh,33
Movie,Advait Chandan,15
Movie,Adze Ugah,30
Movie,Afia Nathaniel,90
Movie,Afonso Poyart,30
Movie,Agasyah Karim,24
Movie,Agnidev Chatterjee,24
Movie,Agustí Villaronga,20
Movie,Ahishor Solomon,18
Movie,Ahmad Samir Farag,21
Movie,Ahmed El Gendy,6
Movie,Ahmed Zain,12
Movie,Ahsan Rahim,30
Movie,Aijaz Khan,24
Movie,Aitor Arregi,12
Movie,Ajay Bahl,27
Movie,Ajay Bhuyan,14
Movie,Ajay Phansekar,18
